id,title,category,description,key_tools,success_criteria,validation_approach,status,github,notes
1,Genome Editing Strategy Recommender,Genome Editing & Safety,"This project addresses the challenge of selecting the most appropriate genome editing modality for a given target locus and edit objective. It provides a rule-based recommendation system that evaluates CRISPR, base editing, and prime editing with feasibility checks, efficiency prediction, off-target risk, and delivery rationale, helping research scientists and platform engineers make informed experimental design decisions.","Flask, BioPython, DEEPCrispr, DeepBaseEditor, Cas-OFFinder, SQLAlchemy, SQLite, Bootstrap 5, Jinja2",,"1. Back-test on 10 published therapeutic editing programs (e.g., BCL11A enhancer disruption for sickle cell with Cas9, ABE for T-to-C correction at therapeutic loci): assess whether the tool recommends the same modality as the published approach in >= 8/10 cases given identical input constraints (edit type, locus, delivery context). | 2. Validate guide RNA scoring: for 5 target loci with published high- and low-efficiency guide RNAs from Doench et al. 2016 (Nature Biotechnology), confirm tool recommendations correlate with published efficiency scores (Spearman rho >= 0.70). | 3. Benchmark metric: Modality match rate vs. published therapeutic programs; guide RNA efficiency rank correlation vs. Doench 2016 scores; off-target risk rank alignment with CHANGE-seq experimental data for held-out test guides.",Not Started,,
2,General Modality Recommender V2,Molecular Biology & Protocol Tools,"This project addresses the difficulty of selecting appropriate therapeutic modalities for a given biological target and disease context. It provides a structured decision framework that maps targets and goals to suitable modalities, helping scientists and strategy teams identify viable therapeutic approaches. The system solves the problem of inconsistent modality selection by encoding domain knowledge into a consistent, explainable recommendation engine.","Flask, Pandas, SQLAlchemy, SQLite, Bootstrap 5, Jinja2",,Not Started,,
3,Directed Evolution / Design Space Explorer,Protein & Sequence Engineering,"This project addresses the challenge of experimentally exploring protein sequence space for functional optimization. It provides a simulation framework for mutation and selection cycles, helping protein engineers explore sequence optimization trajectories. The system solves the problem of complex experiment setup and limited exploration of design space by simulating directed evolution experiments through automating iterative mutation and scoring workflows.","Flask, ESM-2, ProteinMPNN, NumPy, Pandas, Plotly, SQLAlchemy, SQLite, Bootstrap 5",,"1. Use the GB1 four-position combinatorial fitness landscape (Wu et al. 2016, eLife 5:e16965) as ground truth: simulate evolution from wild-type and confirm the pipeline enriches for the known high-fitness quadrant (fitness > 1.0) in the top 5% of proposed variants — enrichment above the 2.4% baseline is meaningful. | 2. Reproduce EvoProtGrad's published enrichment results on the GFP brightness landscape (Sarkisyan et al. 2016) as a secondary benchmark, confirming average fitness gain per generation matches their published curves. | 3. Benchmark metric: Enrichment of experimentally validated high-fitness variants in top-k predictions; Spearman rho between predicted and measured fitness.",Not Started,,
4,Mutation Sensitivity / Fitness Landscape Mapper,Protein & Sequence Engineering,"This project addresses the need to understand how mutations affect sequence function. It provides systematic mutation analysis that maps sensitivity across positions, helping researchers identify critical residues and tolerant regions. The system solves the problem of incomplete understanding of sequence-function relationships through experimental approaches by generating comprehensive in silico mutation landscapes using pretrained protein language models.","Flask, ESM-2, BioPython, Pandas, NumPy, Plotly, Seaborn, SQLAlchemy, SQLite, Bootstrap 5",,"Benchmark against published deep mutational scanning datasets for GB1 and TEM-1 beta-lactamase (Olson et al. 2014; Firnberg et al. 2014). Generate a complete in silico single-mutant landscape, score variants using ESM-2, and compare to experimental fitness using Spearman rank correlation and classification of deleterious vs. tolerated mutations. Success defined by moderate-to-strong correlation with experimental data, accurate enrichment of deleterious predictions among low-fitness variants, and consistent identification of functionally critical sensitive residues.",Not Started,,
5,ZFN/TALEN Targetability Explorer,Genome Editing & Safety,"This project explores the potential of ZFN and TALEN targeting and provides researchers a tool to identify white spaces in the human genome that can be targeted by ZFNs and TALENs. It provides a tool to predict the probability of engineering a ZFN or TALEN to a given target site, helping genome engineers evaluate targeting feasibility. The system solves the problem of limited targeting knowledge by systematically applying design constraints across genomic sequences.","Flask, BioPython, ProteinMPNN, ESM-2, Pandas, NumPy, Plotly, SQLAlchemy, SQLite, Bootstrap 5",,"Benchmark against experimentally validated and historically characterized targeting sites for ZFNs and TALENs (Urnov et al. 2005; Joung & Sander 2013; Boch et al. 2009; Moscou & Bogdanove 2009). Evaluate ability to assign high feasibility to successfully targeted sites and deprioritize sites violating established constraints. Include in silico reconstruction of known ZFN/TALEN target sites and genome-wide scans. Success defined by strong enrichment of validated sites among top-ranked predictions and coherent genome-wide feasibility landscapes aligned with known biochemical constraints.",Not Started,,
6,Construct Design Optimizer,Protein & Sequence Engineering,"This project addresses the complexity of designing expression constructs for biological experiments. It provides recommendations for tags, linkers, truncations, and expression systems, helping scientists design optimal constructs. The system solves the problem of inefficient construct design and iterative optimization through experiments by encoding best practices into a structured recommendation system designed to reduce design-test cycles.","Flask, ESM-2, BioPython, Pandas, Plotly, SQLAlchemy, SQLite, Bootstrap 5",,"Benchmark against published datasets and best practices for protein expression and solubility optimization (Dyson et al. 2004; Kapust & Waugh 1999; Esposito & Chatterjee 2006; Chen et al. 2013). Backtesting: curated successful and failed construct designs from literature; assess whether the model ranks successful constructs higher under identical constraints. Validate ESM-2 stability scores for solubility-improving constructs. Success defined by strong enrichment of experimentally successful designs among top-ranked recommendations and recovery of widely used design heuristics without explicit hard-coding.",Not Started,,
7,Cloning Strategy Recommender,Molecular Biology & Protocol Tools,"This project addresses the challenge of selecting optimal cloning methods for construct assembly. It provides method recommendations based on design constraints, helping researchers choose efficient cloning strategies. The system solves the problem of suboptimal cloning decisions by mapping design requirements to appropriate methods.","Flask, BioPython, SQLAlchemy, SQLite, Bootstrap 5, Jinja2, Alembic",,"Benchmark against established method-selection guidelines and published use cases across Gibson Assembly, Golden Gate Assembly, Gateway Cloning, and restriction enzyme-based cloning. Evaluate correct routing of multi-fragment assemblies to one-pot methods (Gibson/Golden Gate) and modular use cases to recombination-based systems. Backtesting: representative cloning scenarios from literature; assess whether the experimentally used method ranks in top recommendations. Success defined by high agreement with literature-derived method choices and consistent alignment with established design heuristics.",Not Started,,
8,Scientific Literature RAG Agent,Scientific Intelligence & Landscape Analysis,"This project addresses the challenge of efficiently extracting insights from scientific literature. It provides a retrieval-augmented system that synthesizes information into structured answers, helping researchers quickly access relevant knowledge. The system solves the problem of manual literature review by automating retrieval and synthesis of relevant papers.","Flask, sentence-transformers, FAISS, PubMed E-utilities API, Claude API, SQLAlchemy, SQLite, Bootstrap 5",,"Benchmark retrieval and synthesis performance using curated scientific corpora (PubMed Central Open Access Subset, PubMedQA) and manually constructed query sets. Evaluate precision@k and recall@k for retrieval; summary faithfulness via ROUGE or semantic similarity; citation accuracy via source attribution checking. Test hallucination rate on out-of-distribution queries (target < 20% hallucination). Success defined by high retrieval precision, strong alignment between generated summaries and source content, minimal unsupported claims, and consistent inclusion of relevant citations.",Not Started,,
9,Mechanism Schematic Generator,Scientific Intelligence & Landscape Analysis,"This project provides a tool to quickly and easily generate scientific schematics. It provides automated schematic generation from textual descriptions, helping researchers communicate complex processes — whether mechanisms, concepts, ideas, or experimental workflows. The system solves the problem of manual diagram creation by converting structured representations into visual outputs. It incorporates a fixed library of icons to build schematics ensuring visual consistency.","Flask, spaCy, Claude API, svgwrite, SQLAlchemy, SQLite, Bootstrap 5, SVG.js",,"Benchmark generated schematics against published figures from scientific literature and textbooks (e.g., Nature Reviews Molecular Cell Biology). Evaluate correctness of captured entities and relationships, structural alignment with published figures, and appropriate abstraction across three detail tiers. Backtesting: select representative mechanisms (CRISPR editing, transcriptional regulation, antibody-antigen binding), compare outputs to reference figures. Success defined by high agreement with reference schematics, clear differentiation across detail levels, and strong expert ratings for clarity and correctness.",Not Started,,
10,Paper to Protocol + ELN Generator,Molecular Biology & Protocol Tools,"This project addresses the challenge of translating published methods into executable protocols. It provides structured protocol generation, helping researchers operationalize literature methods. The system solves the problem of inconsistent protocol interpretation by standardizing extraction and formatting.","Flask, PyMuPDF, pdfplumber, python-docx, spaCy, Claude API, WeasyPrint, SQLAlchemy, SQLite, Bootstrap 5",,"Benchmark protocol extraction against published methods sections from peer-reviewed literature and standardized repositories (Nature Protocols, protocols.io). Evaluate completeness and fidelity scoring (recall of critical steps and parameters), consistency across repeated runs, and ELN JSON export correctness. Expert review: assess whether generated protocol is executable without referring back to the original paper. Success defined by high coverage of critical experimental details, minimal omission or misinterpretation of steps, and strong alignment with reference protocols.",Not Started,,
